Date,Open,High,Low,Close,Adj Close,Volume,Quarter
2017-01-03,124.959999,128.190002,124.309998,127.489998,127.489998,9437900,Q1
2017-01-04,127.489998,130.169998,126.550003,129.410004,129.410004,7843600,Q1
2017-01-05,129.220001,132.75,128.899994,131.809998,131.809998,10185500,Q1
2017-01-06,132.080002,133.880005,129.809998,131.070007,131.070007,10657900,Q1
2017-01-09,131.479996,131.990005,129.889999,130.949997,130.949997,5766900,Q1
2017-01-10,131.270004,132.220001,129.289993,129.889999,129.889999,5985800,Q1
2017-01-11,130.910004,131.5,129.25,130.5,130.5,5615100,Q1
2017-01-12,130.630005,130.850006,128.5,129.179993,129.179993,5388900,Q1
2017-01-13,131.149994,133.929993,130.580002,133.699997,133.699997,10515000,Q1
2017-01-17,135.039993,135.399994,132.089996,132.889999,132.889999,12183200,Q1
2017-01-18,133.210007,133.649994,131.059998,133.259995,133.259995,16168600,Q1
2017-01-19,142.009995,143.460007,138.25,138.410004,138.410004,23203400,Q1
2017-01-20,139.360001,140.789993,137.660004,138.600006,138.600006,9497400,Q1
2017-01-23,138.649994,139.490005,137.309998,137.389999,137.389999,7433900,Q1
2017-01-24,138.110001,140.929993,137.029999,140.110001,140.110001,7754700,Q1
2017-01-25,140.800003,141.389999,139.050003,139.520004,139.520004,7238100,Q1
2017-01-26,140.449997,141.210007,138.509995,138.960007,138.960007,6038300,Q1
2017-01-27,139.460007,142.490005,139,142.449997,142.449997,8323900,Q1
2017-01-30,141.770004,141.970001,138.800003,141.220001,141.220001,8122500,Q1
2017-01-31,140.550003,141.830002,139.699997,140.710007,140.710007,4411600,Q1
2017-02-01,141.199997,142.410004,139.300003,140.779999,140.779999,6033400,Q1
2017-02-02,140.610001,141.039993,139.050003,139.199997,139.199997,3462400,Q1
2017-02-03,139.509995,140.639999,139.100006,140.25,140.25,3512600,Q1
2017-02-06,140,141,139.160004,140.970001,140.970001,3552100,Q1
2017-02-07,141.490005,144.279999,141.050003,144,144,8573500,Q1
2017-02-08,143.570007,145.070007,142.559998,144.740005,144.740005,6887100,Q1
2017-02-09,144.979996,145.089996,143.580002,144.139999,144.139999,4555100,Q1
2017-02-10,144.679993,145.300003,143.970001,144.820007,144.820007,6171900,Q1
2017-02-13,145.190002,145.949997,143.050003,143.199997,143.199997,4790400,Q1
2017-02-14,143.199997,144.110001,140.050003,140.820007,140.820007,8355000,Q1
2017-02-15,140.720001,142.429993,140.509995,142.270004,142.270004,5309100,Q1
2017-02-16,142.419998,142.440002,141.070007,142.009995,142.009995,2847500,Q1
2017-02-17,141.75,142.899994,141.270004,142.220001,142.220001,4588100,Q1
2017-02-21,142.990005,143.380005,141.809998,142.600006,142.600006,3571500,Q1
2017-02-22,142.919998,144,142.169998,143.860001,143.860001,3482000,Q1
2017-02-23,144.449997,144.490005,141.520004,142.779999,142.779999,4668000,Q1
2017-02-24,141.880005,143.559998,141.550003,143.25,143.25,3302700,Q1
2017-02-27,143.119995,143.919998,142.380005,143.410004,143.410004,3907400,Q1
2017-02-28,143.300003,143.570007,141.850006,142.130005,142.130005,3862200,Q1
2017-03-01,142.839996,143.259995,142.100006,142.649994,142.649994,4170600,Q1
2017-03-02,142.149994,142.699997,139.089996,139.529999,139.529999,6119900,Q1
2017-03-03,139.690002,140.910004,138.259995,139.139999,139.139999,5399800,Q1
2017-03-06,141,142.839996,140.539993,141.940002,141.940002,7116100,Q1
2017-03-07,141.990005,142.399994,140.380005,141.429993,141.429993,4241000,Q1
2017-03-08,141.470001,142.059998,139.770004,140.320007,140.320007,4085500,Q1
2017-03-09,140.039993,141.240005,139.740005,140.529999,140.529999,2652700,Q1
2017-03-10,141.389999,141.800003,140.279999,140.889999,140.889999,3318500,Q1
2017-03-13,140.899994,143.710007,140.320007,143.520004,143.520004,4922400,Q1
2017-03-14,142.949997,143.309998,141.699997,143.190002,143.190002,4660300,Q1
